Level,Expression,Value,Location,Refresh
0,test_input_signal,,0x20000254,Off
0,fft_handle.result.displayed_amplitude,0,0x20000248,Off
0,fft_handle.result.measured_frequency,0,0x20000250,Off
0,fft_handle.result.corrected_amplitude,0,0x2000024C,Off
0,adc_fft_buffer,,0x20004480,Off
0,fft_handle_tmp,,<outofscope>,Off
0,p_handle,,<outofscope>,Off
0,AmpSampleBoard,,0x20005480,Off
 1,[0][0],0.572183907,0x20005480,Off
 1,[0][1],0.568114579,0x20005484,Off
 1,[0][2],0.571954608,0x20005488,Off
 1,[0][3],0.572685182,0x2000548C,Off
 1,[0][4],0.570238411,0x20005490,Off
 1,[0][5],0.573641717,0x20005494,Off
 1,[0][6],0.571797848,0x20005498,Off
 1,[0][7],0.575579643,0x2000549C,Off
 1,[0][8],0.571221113,0x200054A0,Off
 1,[0][9],0.572257221,0x200054A4,Off
 1,[0][10],0.572898328,0x200054A8,Off
 1,[1][0],0.686575055,0x200054AC,Off
 1,[1][1],0.686641097,0x200054B0,Off
 1,[1][2],0.686456561,0x200054B4,Off
 1,[1][3],0.686598659,0x200054B8,Off
 1,[1][4],0.686709225,0x200054BC,Off
 1,[1][5],0.686877728,0x200054C0,Off
 1,[1][6],0.686920345,0x200054C4,Off
 1,[1][7],0.686992943,0x200054C8,Off
 1,[1][8],0.687027872,0x200054CC,Off
 1,[1][9],0.687045574,0x200054D0,Off
 1,[1][10],0.687228441,0x200054D4,Off
 1,[2][0],0.721968234,0x200054D8,Off
 1,[2][1],0.722102761,0x200054DC,Off
 1,[2][2],0.721979141,0x200054E0,Off
 1,[2][3],0.722008646,0x200054E4,Off
 1,[2][4],0.722014129,0x200054E8,Off
 1,[2][5],0.722045124,0x200054EC,Off
 1,[2][6],0.721979678,0x200054F0,Off
 1,[2][7],0.722042441,0x200054F4,Off
 1,[2][8],0.721994221,0x200054F8,Off
 1,[2][9],0.722046435,0x200054FC,Off
 1,[2][10],0.722045898,0x20005500,Off
 1,[3][0],0.736275315,0x20005504,Off
 1,[3][1],0.736350834,0x20005508,Off
 1,[3][2],0.736323178,0x2000550C,Off
 1,[3][3],0.736255884,0x20005510,Off
 1,[3][4],0.7362082,0x20005514,Off
 1,[3][5],0.736252248,0x20005518,Off
 1,[3][6],0.736230373,0x2000551C,Off
 1,[3][7],0.73620373,0x20005520,Off
 1,[3][8],0.736226499,0x20005524,Off
 1,[3][9],0.736284971,0x20005528,Off
 1,[3][10],0.736237645,0x2000552C,Off
 1,[4][0],0.743498683,0x20005530,Off
 1,[4][1],0.743417263,0x20005534,Off
 1,[4][2],0.7433272,0x20005538,Off
 1,[4][3],0.743341029,0x2000553C,Off
 1,[4][4],0.743323922,0x20005540,Off
 1,[4][5],0.743394077,0x20005544,Off
 1,[4][6],0.743313849,0x20005548,Off
 1,[4][7],0.743315458,0x2000554C,Off
 1,[4][8],0.743375599,0x20005550,Off
 1,[4][9],0.743287086,0x20005554,Off
 1,[4][10],0.743315339,0x20005558,Off
 1,[5][0],0.747338355,0x2000555C,Off
 1,[5][1],0.747321904,0x20005560,Off
 1,[5][2],0.747174561,0x20005564,Off
 1,[5][3],0.747186959,0x20005568,Off
 1,[5][4],0.747101307,0x2000556C,Off
 1,[5][5],0.747246027,0x20005570,Off
 1,[5][6],0.747107685,0x20005574,Off
 1,[5][7],0.747112274,0x20005578,Off
 1,[5][8],0.747142732,0x2000557C,Off
 1,[5][9],0.747103095,0x20005580,Off
 1,[5][10],0.747065663,0x20005584,Off
 1,[6][0],0.749923527,0x20005588,Off
 1,[6][1],0.749916553,0x2000558C,Off
 1,[6][2],0.749841511,0x20005590,Off
 1,[6][3],0.749790907,0x20005594,Off
 1,[6][4],0.749755621,0x20005598,Off
 1,[6][5],0.74980706,0x2000559C,Off
 1,[6][6],0.749768257,0x200055A0,Off
 1,[6][7],0.749764144,0x200055A4,Off
 1,[6][8],0.749811769,0x200055A8,Off
 1,[6][9],0.749768734,0x200055AC,Off
 1,[6][10],0.749712646,0x200055B0,Off
 1,[7][0],0.751955211,0x200055B4,Off
 1,[7][1],0.751815557,0x200055B8,Off
 1,[7][2],0.751681805,0x200055BC,Off
 1,[7][3],0.751825392,0x200055C0,Off
 1,[7][4],0.75175184,0x200055C4,Off
 1,[7][5],0.751766741,0x200055C8,Off
 1,[7][6],0.751776159,0x200055CC,Off
 1,[7][7],0.751722693,0x200055D0,Off
 1,[7][8],0.751848876,0x200055D4,Off
 1,[7][9],0.751779735,0x200055D8,Off
 1,[7][10],0.751718462,0x200055DC,Off
 1,[8][0],0.752983749,0x200055E0,Off
 1,[8][1],0.753064036,0x200055E4,Off
 1,[8][2],0.752994061,0x200055E8,Off
 1,[8][3],0.75289166,0x200055EC,Off
 1,[8][4],0.752886355,0x200055F0,Off
 1,[8][5],0.75294131,0x200055F4,Off
 1,[8][6],0.752898216,0x200055F8,Off
 1,[8][7],0.752859533,0x200055FC,Off
 1,[8][8],0.752919376,0x20005600,Off
 1,[8][9],0.752927005,0x20005604,Off
 1,[8][10],0.752866864,0x20005608,Off
 1,[9][0],0.753976941,0x2000560C,Off
 1,[9][1],0.754022121,0x20005610,Off
 1,[9][2],0.753863752,0x20005614,Off
 1,[9][3],0.753851235,0x20005618,Off
 1,[9][4],0.753832996,0x2000561C,Off
 1,[9][5],0.753982067,0x20005620,Off
 1,[9][6],0.753908873,0x20005624,Off
 1,[9][7],0.753818989,0x20005628,Off
 1,[9][8],0.753947854,0x2000562C,Off
 1,[9][9],0.753889799,0x20005630,Off
 1,[9][10],0.753869891,0x20005634,Off
 1,[10][0],0.754678905,0x20005638,Off
 1,[10][1],0.75471431,0x2000563C,Off
 1,[10][2],0.754639685,0x20005640,Off
 1,[10][3],0.754694521,0x20005644,Off
 1,[10][4],0.75453794,0x20005648,Off
 1,[10][5],0.754707754,0x2000564C,Off
 1,[10][6],0.754567087,0x20005650,Off
 1,[10][7],0.754579782,0x20005654,Off
 1,[10][8],0.754681051,0x20005658,Off
 1,[10][9],0.75467962,0x2000565C,Off
 1,[10][10],0.754566312,0x20005660,Off
 1,[11][0],0.755230904,0x20005664,Off
 1,[11][1],0.755194485,0x20005668,Off
 1,[11][2],0.755066037,0x2000566C,Off
 1,[11][3],0.755071044,0x20005670,Off
 1,[11][4],0.755034447,0x20005674,Off
 1,[11][5],0.755178928,0x20005678,Off
 1,[11][6],0.7551018,0x2000567C,Off
 1,[11][7],0.755084813,0x20005680,Off
 1,[11][8],0.755102038,0x20005684,Off
 1,[11][9],0.755186915,0x20005688,Off
 1,[11][10],0.755138695,0x2000568C,Off
 1,[12][0],0.755828857,0x20005690,Off
 1,[12][1],0.755768538,0x20005694,Off
 1,[12][2],0.755732656,0x20005698,Off
 1,[12][3],0.755689561,0x2000569C,Off
 1,[12][4],0.755638063,0x200056A0,Off
 1,[12][5],0.755675852,0x200056A4,Off
 1,[12][6],0.755683482,0x200056A8,Off
 1,[12][7],0.755583823,0x200056AC,Off
 1,[12][8],0.75568217,0x200056B0,Off
 1,[12][9],0.755743742,0x200056B4,Off
 1,[12][10],0.755631626,0x200056B8,Off
 1,[13][0],0.756142795,0x200056BC,Off
 1,[13][1],0.756166935,0x200056C0,Off
 1,[13][2],0.756034255,0x200056C4,Off
 1,[13][3],0.756078362,0x200056C8,Off
 1,[13][4],0.756006598,0x200056CC,Off
 1,[13][5],0.756116807,0x200056D0,Off
 1,[13][6],0.756111264,0x200056D4,Off
 1,[13][7],0.756019771,0x200056D8,Off
 1,[13][8],0.756088793,0x200056DC,Off
 1,[13][9],0.756060541,0x200056E0,Off
 1,[13][10],0.756077886,0x200056E4,Off
 1,[14][0],0.756599545,0x200056E8,Off
 1,[14][1],0.756472111,0x200056EC,Off
 1,[14][2],0.756382108,0x200056F0,Off
 1,[14][3],0.756436288,0x200056F4,Off
 1,[14][4],0.756411254,0x200056F8,Off
