Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,AmpSampleBoard,,0x200054F8,Off
 1,[0][0],0.936807156,0x200054F8,Off
 1,[0][1],0.937320709,0x200054FC,Off
 1,[0][2],0.936584651,0x20005500,Off
 1,[0][3],0.942970097,0x20005504,Off
 1,[0][4],0.936590791,0x20005508,Off
 1,[0][5],0.937613666,0x2000550C,Off
 1,[0][6],0.943507671,0x20005510,Off
 1,[0][7],0.938597381,0x20005514,Off
 1,[0][8],0.937925279,0x20005518,Off
 1,[0][9],0.938289821,0x2000551C,Off
 1,[0][10],0.938702762,0x20005520,Off
 1,[1][0],0.98986131,0x20005524,Off
 1,[1][1],0.989880443,0x20005528,Off
 1,[1][2],0.989903271,0x2000552C,Off
 1,[1][3],0.989796758,0x20005530,Off
 1,[1][4],0.989770889,0x20005534,Off
 1,[1][5],0.989957154,0x20005538,Off
 1,[1][6],0.989973605,0x2000553C,Off
 1,[1][7],0.990077734,0x20005540,Off
 1,[1][8],0.990127802,0x20005544,Off
 1,[1][9],0.990137577,0x20005548,Off
 1,[1][10],0.990155518,0x2000554C,Off
 1,[2][0],1.01040053,0x20005550,Off
 1,[2][1],1.01032543,0x20005554,Off
 1,[2][2],1.01029062,0x20005558,Off
 1,[2][3],1.01017272,0x2000555C,Off
 1,[2][4],1.01021409,0x20005560,Off
 1,[2][5],1.01051843,0x20005564,Off
 1,[2][6],1.01052308,0x20005568,Off
 1,[2][7],1.01042652,0x2000556C,Off
 1,[2][8],1.01051295,0x20005570,Off
 1,[2][9],1.01047564,0x20005574,Off
 1,[2][10],1.01047075,0x20005578,Off
 1,[3][0],1.01870823,0x2000557C,Off
 1,[3][1],1.01874053,0x20005580,Off
 1,[3][2],1.01864815,0x20005584,Off
 1,[3][3],1.01856697,0x20005588,Off
 1,[3][4],1.01849186,0x2000558C,Off
 1,[3][5],1.01877415,0x20005590,Off
 1,[3][6],1.01862574,0x20005594,Off
 1,[3][7],1.01876605,0x20005598,Off
 1,[3][8],1.0187248,0x2000559C,Off
 1,[3][9],1.01873195,0x200055A0,Off
 1,[3][10],1.01876855,0x200055A4,Off
 1,[4][0],1.02276969,0x200055A8,Off
 1,[4][1],1.02273738,0x200055AC,Off
 1,[4][2],1.02261353,0x200055B0,Off
 1,[4][3],1.02263629,0x200055B4,Off
 1,[4][4],1.02253985,0x200055B8,Off
 1,[4][5],1.02282608,0x200055BC,Off
 1,[4][6],1.02282977,0x200055C0,Off
 1,[4][7],1.02278852,0x200055C4,Off
 1,[4][8],1.02278841,0x200055C8,Off
 1,[4][9],1.02280426,0x200055CC,Off
 1,[4][10],1.02281308,0x200055D0,Off
 1,[5][0],1.02497983,0x200055D4,Off
 1,[5][1],1.02483022,0x200055D8,Off
 1,[5][2],1.02468407,0x200055DC,Off
 1,[5][3],1.02461874,0x200055E0,Off
 1,[5][4],1.02463591,0x200055E4,Off
 1,[5][5],1.0248431,0x200055E8,Off
 1,[5][6],1.02480817,0x200055EC,Off
 1,[5][7],1.02477944,0x200055F0,Off
 1,[5][8],1.02484262,0x200055F4,Off
 1,[5][9],1.02481079,0x200055F8,Off
 1,[5][10],1.02480197,0x200055FC,Off
 1,[6][0],1.02638221,0x20005600,Off
 1,[6][1],1.02634883,0x20005604,Off
 1,[6][2],1.02628052,0x20005608,Off
 1,[6][3],1.02618885,0x2000560C,Off
 1,[6][4],1.02608597,0x20005610,Off
 1,[6][5],1.02633905,0x20005614,Off
 1,[6][6],1.02629769,0x20005618,Off
 1,[6][7],1.02638197,0x2000561C,Off
 1,[6][8],1.02635813,0x20005620,Off
 1,[6][9],1.02634072,0x20005624,Off
 1,[6][10],1.02625155,0x20005628,Off
 1,[7][0],1.02759123,0x2000562C,Off
 1,[7][1],1.02758372,0x20005630,Off
 1,[7][2],1.0275532,0x20005634,Off
 1,[7][3],1.02739465,0x20005638,Off
 1,[7][4],1.02738452,0x2000563C,Off
 1,[7][5],1.02764595,0x20005640,Off
 1,[7][6],1.02758968,0x20005644,Off
 1,[7][7],1.02754366,0x20005648,Off
 1,[7][8],1.02762818,0x2000564C,Off
 1,[7][9],1.0276078,0x20005650,Off
 1,[7][10],1.02755702,0x20005654,Off
 1,[8][0],1.02840674,0x20005658,Off
 1,[8][1],1.02840614,0x2000565C,Off
 1,[8][2],1.02824461,0x20005660,Off
 1,[8][3],1.02807999,0x20005664,Off
 1,[8][4],1.02811933,0x20005668,Off
 1,[8][5],1.02830052,0x2000566C,Off
 1,[8][6],1.028211,0x20005670,Off
 1,[8][7],1.0281527,0x20005674,Off
 1,[8][8],1.02827764,0x20005678,Off
 1,[8][9],1.02813852,0x2000567C,Off
 1,[8][10],1.02812517,0x20005680,Off
 1,[9][0],1.02862573,0x20005684,Off
 1,[9][1],1.02862036,0x20005688,Off
 1,[9][2],1.02857161,0x2000568C,Off
 1,[9][3],1.02856076,0x20005690,Off
 1,[9][4],1.02847564,0x20005694,Off
 1,[9][5],1.02876854,0x20005698,Off
 1,[9][6],1.02866006,0x2000569C,Off
 1,[9][7],1.02862668,0x200056A0,Off
 1,[9][8],1.02862,0x200056A4,Off
 1,[9][9],1.02856565,0x200056A8,Off
 1,[9][10],1.02845359,0x200056AC,Off
 1,[10][0],1.02922702,0x200056B0,Off
