Level,Expression,Value,Location,Refresh
0,AmpSampleBoard,,0x00000000,5 Hz
0,Waveform_RAM,,<outofscope>,Off
0,VoutSampleBoard,,0x00000000,Off
0,adc_fft_buffer,,0x200044F8,Off
0,AmpSampleBoardSecond,,0x00000000,5 Hz
0,VoutSampleBoardSecond,,0x00000000,Off
0,AmpSampleBoard_Vout,,0x200054F8,5 Hz
 1,[0],0.622867882,0x200054F8,5 Hz
 1,[1],0.699362278,0x200054FC,5 Hz
 1,[2],0.721105874,0x20005500,5 Hz
 1,[3],0.729873836,0x20005504,5 Hz
 1,[4],0.734125376,0x20005508,5 Hz
 1,[5],0.736525953,0x2000550C,5 Hz
 1,[6],0.738129139,0x20005510,5 Hz
 1,[7],0.739459813,0x20005514,5 Hz
 1,[8],0.740190268,0x20005518,5 Hz
 1,[9],0.740771055,0x2000551C,5 Hz
 1,[10],0.74126339,0x20005520,5 Hz
 1,[11],0.741607189,0x20005524,5 Hz
 1,[12],0.741939843,0x20005528,5 Hz
 1,[13],0.742575109,0x2000552C,5 Hz
 1,[14],0.742349565,0x20005530,5 Hz
 1,[15],0.74281913,0x20005534,5 Hz
 1,[16],0.742790997,0x20005538,5 Hz
 1,[17],0.742741764,0x2000553C,5 Hz
 1,[18],0.742975473,0x20005540,5 Hz
 1,[19],0.743465126,0x20005544,5 Hz
 1,[20],0.743004858,0x20005548,5 Hz
 1,[21],0.743282974,0x2000554C,5 Hz
 1,[22],0.743623674,0x20005550,5 Hz
 1,[23],0.743213713,0x20005554,5 Hz
 1,[24],0.743354142,0x20005558,5 Hz
 1,[25],0.743541658,0x2000555C,5 Hz
 1,[26],0.743963718,0x20005560,5 Hz
 1,[27],0.744063437,0x20005564,5 Hz
 1,[28],0.744198978,0x20005568,5 Hz
 1,[29],0.744402885,0x2000556C,5 Hz
 1,[30],0.743657827,0x20005570,5 Hz
 1,[31],0.744040251,0x20005574,5 Hz
 1,[32],0.744134367,0x20005578,5 Hz
 1,[33],0.745288849,0x2000557C,5 Hz
 1,[34],0.744395792,0x20005580,5 Hz
 1,[35],0.744114459,0x20005584,5 Hz
 1,[36],0.744440794,0x20005588,5 Hz
 1,[37],0.744208753,0x2000558C,5 Hz
 1,[38],0.744077921,0x20005590,5 Hz
 1,[39],0.743774235,0x20005594,5 Hz
 1,[40],0.744506836,0x20005598,5 Hz
 1,[41],0.744495332,0x2000559C,5 Hz
 1,[42],0.7437976,0x200055A0,5 Hz
 1,[43],0.744185448,0x200055A4,5 Hz
 1,[44],0.743915975,0x200055A8,5 Hz
