Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,g_adc_buf_dc,,<outofscope>,Off
0,g_adc_buf,,0x2000D8E8,Off
0,g_fft_input_buf,,0x2000EFA4,5 Hz
0,g_fft_input_buf,,0x2000EFA4,Off
0,g_fft_input_buf,,0x2000EFA4,Off
0,g_MeasuredGains,,<outofscope>,5 Hz
0,adc_fft_buffer,,0x2000B7E0,Off
0,g_FrequencyPoints,,<outofscope>,Off
0,adc_fft_buffer,,0x2000B7E0,Off
0,g_MeasuredGains,,<outofscope>,5 Hz
0,g_GainsError,,<outofscope>,5 Hz
0,adc_fft_buffer,,0x2000B7E0,Off
0,SampleDDSBoardArr,,0x200114D0,5 Hz
 1,[0],0.873945653,0x200114D0,5 Hz
 1,[1],0.961790562,0x200114D4,5 Hz
 1,[2],0.981737614,0x200114D8,5 Hz
 1,[3],0.989662409,0x200114DC,5 Hz
 1,[4],0.993698597,0x200114E0,5 Hz
 1,[5],0.995852888,0x200114E4,5 Hz
 1,[6],0.996942937,0x200114E8,5 Hz
 1,[7],0.997780144,0x200114EC,5 Hz
 1,[8],0.998393774,0x200114F0,5 Hz
 1,[9],0.999135554,0x200114F4,5 Hz
 1,[10],0.999235928,0x200114F8,5 Hz
 1,[11],0.999806702,0x200114FC,5 Hz
 1,[12],1.00040591,0x20011500,5 Hz
 1,[13],1.0005995,0x20011504,5 Hz
 1,[14],1.00026,0x20011508,5 Hz
 1,[15],1.00057876,0x2001150C,5 Hz
 1,[16],1.00137651,0x20011510,5 Hz
 1,[17],1.00030077,0x20011514,5 Hz
 1,[18],0.999916852,0x20011518,5 Hz
 1,[19],1.00152826,0x2001151C,5 Hz
 1,[20],1.00148523,0x20011520,5 Hz
 1,[21],1.00030744,0x20011524,5 Hz
 1,[22],1.00179219,0x20011528,5 Hz
 1,[23],1.00148249,0x2001152C,5 Hz
 1,[24],1.00267422,0x20011530,5 Hz
 1,[25],1.0030483,0x20011534,5 Hz
 1,[26],1.00136328,0x20011538,5 Hz
 1,[27],1.0027647,0x2001153C,5 Hz
 1,[28],1.00194979,0x20011540,5 Hz
 1,[29],1.00261128,0x20011544,5 Hz
 1,[30],1.00224531,0x20011548,5 Hz
 1,[31],1.00193155,0x2001154C,5 Hz
