Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,SampleInBoardArr,,0x200114D0,Off
 1,[0],0.602511823,0x200114D0,Off
 1,[1],0.674890578,0x200114D4,Off
 1,[2],0.692906857,0x200114D8,Off
 1,[3],0.700862825,0x200114DC,Off
 1,[4],0.70513463,0x200114E0,Off
 1,[5],0.707429588,0x200114E4,Off
 1,[6],0.708690643,0x200114E8,Off
 1,[7],0.709362268,0x200114EC,Off
 1,[8],0.709708035,0x200114F0,Off
 1,[9],0.710164368,0x200114F4,Off
 1,[10],0.710611343,0x200114F8,Off
 1,[11],0.71061641,0x200114FC,Off
 1,[12],0.710641563,0x20011500,Off
 1,[13],0.709698856,0x20011504,Off
 1,[14],0.710060775,0x20011508,Off
 1,[15],0.709025562,0x2001150C,Off
 1,[16],0.709610283,0x20011510,Off
 1,[17],0.709535122,0x20011514,Off
 1,[18],0.71043247,0x20011518,Off
 1,[19],0.70930481,0x2001151C,Off
 1,[20],0.709393978,0x20011520,Off
 1,[21],0.709912002,0x20011524,Off
 1,[22],0.709212959,0x20011528,Off
 1,[23],0.709176719,0x2001152C,Off
 1,[24],0.709983051,0x20011530,Off
 1,[25],0.710277617,0x20011534,Off
 1,[26],0.709656298,0x20011538,Off
 1,[27],0.710402966,0x2001153C,Off
 1,[28],0.709608018,0x20011540,Off
 1,[29],0.708607435,0x20011544,Off
 1,[30],0.730935574,0x20011548,Off
 1,[31],0.731918871,0x2001154C,Off
 1,[32],0.732580125,0x20011550,Off
 1,[33],0.731350362,0x20011554,Off
 1,[34],0.732414067,0x20011558,Off
 1,[35],0.731719315,0x2001155C,Off
 1,[36],0.732076108,0x20011560,Off
 1,[37],0.731618226,0x20011564,Off
 1,[38],0.732497752,0x20011568,Off
 1,[39],0.732292414,0x2001156C,Off
 1,[40],0.732411563,0x20011570,Off
 1,[41],0.732601464,0x20011574,Off
 1,[42],0.732064784,0x20011578,Off
 1,[43],0.732462585,0x2001157C,Off
 1,[44],0.733365953,0x20011580,Off
 1,[45],0.732524097,0x20011584,Off
 1,[46],0.733141601,0x20011588,Off
 1,[47],0.732347488,0x2001158C,Off
 1,[48],0.732746184,0x20011590,Off
 1,[49],0.732190847,0x20011594,Off
 1,[50],0.732949555,0x20011598,Off
 1,[51],0.733073056,0x2001159C,Off
 1,[52],0.732788384,0x200115A0,Off
 1,[53],0.734454691,0x200115A4,Off
 1,[54],0.734142125,0x200115A8,Off
 1,[55],0.732487857,0x200115AC,Off
 1,[56],0.733272374,0x200115B0,Off
 1,[57],0.734388649,0x200115B4,Off
 1,[58],0.735153913,0x200115B8,Off
 1,[59],0.734630406,0x200115BC,Off
 1,[60],0.733581364,0x200115C0,Off
 1,[61],0.734916866,0x200115C4,Off
 1,[62],0.734989882,0x200115C8,Off
 1,[63],0.734819114,0x200115CC,Off
 1,[64],0.735327065,0x200115D0,Off
 1,[65],0.735172808,0x200115D4,Off
 1,[66],0.73647052,0x200115D8,Off
 1,[67],0.734252274,0x200115DC,Off
 1,[68],0.732618809,0x200115E0,Off
 1,[69],0.733583927,0x200115E4,Off
 1,[70],0.734326839,0x200115E8,Off
 1,[71],0.734847367,0x200115EC,Off
 1,[72],0.738915622,0x200115F0,Off
 1,[73],0.736275017,0x200115F4,Off
 1,[74],0.733593464,0x200115F8,Off
 1,[75],0.733709991,0x200115FC,Off
 1,[76],0.733080804,0x20011600,Off
 1,[77],0.73489213,0x20011604,Off
 1,[78],0.734596193,0x20011608,Off
 1,[79],0.735083401,0x2001160C,Off
 1,[80],0.734624863,0x20011610,Off
 1,[81],0.734581172,0x20011614,Off
 1,[82],0.735535681,0x20011618,Off
 1,[83],0.735023439,0x2001161C,Off
 1,[84],0.734020054,0x20011620,Off
 1,[85],0.732951939,0x20011624,Off
 1,[86],0.733347416,0x20011628,Off
 1,[87],0.734438419,0x2001162C,Off
 1,[88],0.733436286,0x20011630,Off
 1,[89],0.734231055,0x20011634,Off
 1,[90],0.735583723,0x20011638,Off
 1,[91],0.733603477,0x2001163C,Off
 1,[92],0.733869076,0x20011640,Off
 1,[93],0.733327448,0x20011644,Off
 1,[94],0.733821213,0x20011648,Off
 1,[95],0.734115601,0x2001164C,Off
 1,[96],0.73567456,0x20011650,Off
 1,[97],0.735764265,0x20011654,Off
 1,[98],0.737166464,0x20011658,Off
 1,[99],0.738321126,0x2001165C,Off
 1,[100],0.736359119,0x20011660,Off
