Level,Expression,Value,Location,Refresh
0,AmpSampleBoard,,0x20000094,5 Hz
0,Waveform_RAM,,<outofscope>,Off
0,VoutSampleBoard,,0x00000000,Off
0,adc_fft_buffer,,0x200059C0,Off
0,AmpSampleBoardSecond,,0x00000000,5 Hz
0,VoutSampleBoardSecond,,0x00000000,Off
0,AmpSampleBoard_Vout,,0x200005BC,5 Hz
0,VppSampleBoard_Vout,,0x00000000,5 Hz
0,SweepKnownBoardHsArr,,0x200069C0,5 Hz
 1,[0][0],0.996209621,0x200069C0,5 Hz
 1,[0][1],1.0006038,0x200069C4,5 Hz
 1,[0][2],0.999952316,0x200069C8,5 Hz
 1,[0][3],1.00575089,0x200069CC,5 Hz
 1,[0][4],1.00220942,0x200069D0,5 Hz
 1,[0][5],1.00200915,0x200069D4,5 Hz
 1,[0][6],1.00276411,0x200069D8,5 Hz
 1,[0][7],1.001248,0x200069DC,5 Hz
 1,[0][8],1.00981951,0x200069E0,5 Hz
 1,[0][9],1.00543118,0x200069E4,5 Hz
 1,[0][10],1.00508523,0x200069E8,5 Hz
 1,[1][0],0.963241935,0x200069EC,5 Hz
 1,[1][1],0.962513208,0x200069F0,5 Hz
 1,[1][2],0.963080883,0x200069F4,5 Hz
 1,[1][3],0.962779582,0x200069F8,5 Hz
 1,[1][4],0.963020265,0x200069FC,5 Hz
 1,[1][5],0.962625742,0x20006A00,5 Hz
 1,[1][6],0.96322608,0x20006A04,5 Hz
 1,[1][7],0.962991118,0x20006A08,5 Hz
 1,[1][8],0.963426173,0x20006A0C,5 Hz
 1,[1][9],0.963692665,0x20006A10,5 Hz
 1,[1][10],0.963375866,0x20006A14,5 Hz
 1,[2][0],0.950773537,0x20006A18,5 Hz
 1,[2][1],0.951172531,0x20006A1C,5 Hz
 1,[2][2],0.95087105,0x20006A20,5 Hz
 1,[2][3],0.951009929,0x20006A24,5 Hz
 1,[2][4],0.950677991,0x20006A28,5 Hz
 1,[2][5],0.950981915,0x20006A2C,5 Hz
 1,[2][6],0.951316655,0x20006A30,5 Hz
 1,[2][7],0.950903237,0x20006A34,5 Hz
 1,[2][8],0.9511199,0x20006A38,5 Hz
 1,[2][9],0.950857401,0x20006A3C,5 Hz
 1,[2][10],0.951033771,0x20006A40,5 Hz
 1,[3][0],0.939367652,0x20006A44,5 Hz
 1,[3][1],0.939359963,0x20006A48,5 Hz
 1,[3][2],0.939339578,0x20006A4C,5 Hz
 1,[3][3],0.939521074,0x20006A50,5 Hz
 1,[3][4],0.939345121,0x20006A54,5 Hz
 1,[3][5],0.939369678,0x20006A58,5 Hz
 1,[3][6],0.939618886,0x20006A5C,5 Hz
 1,[3][7],0.939533114,0x20006A60,5 Hz
 1,[3][8],0.939514816,0x20006A64,5 Hz
 1,[3][9],0.939489961,0x20006A68,5 Hz
 1,[3][10],0.939553738,0x20006A6C,5 Hz
 1,[4][0],0.929525077,0x20006A70,5 Hz
 1,[4][1],0.929505825,0x20006A74,5 Hz
 1,[4][2],0.929652214,0x20006A78,5 Hz
 1,[4][3],0.928864539,0x20006A7C,5 Hz
 1,[4][4],0.928962648,0x20006A80,5 Hz
