Level,Expression,Value,Location,Refresh
0,test_input_signal,,0x20000254,Off
0,fft_handle.result.displayed_amplitude,0,0x20000248,Off
0,fft_handle.result.measured_frequency,0,0x20000250,Off
0,fft_handle.result.corrected_amplitude,0,0x2000024C,Off
0,adc_fft_buffer,,0x20004480,Off
0,fft_handle_tmp,,<outofscope>,Off
0,p_handle,,<outofscope>,Off
0,AmpSampleBoard,,0x20005480,Off
0,VoutSampleBoard,,0x200059A8,Off
 1,[0][0],0.572183907,0x200059A8,Off
 1,[0][1],0.624926031,0x200059AC,Off
 1,[0][2],0.686345577,0x200059B0,Off
 1,[0][3],0.744490683,0x200059B4,Off
 1,[0][4],0.798333764,0x200059B8,Off
 1,[0][5],0.860462546,0x200059BC,Off
 1,[0][6],0.91487658,0x200059C0,Off
 1,[0][7],0.978485405,0x200059C4,Off
 1,[0][8],1.028198,0x200059C8,Off
 1,[0][9],1.08728874,0x200059CC,Off
 1,[0][10],1.14579666,0x200059D0,Off
 1,[1][0],0.686575055,0x200059D4,Off
 1,[1][1],0.755305231,0x200059D8,Off
 1,[1][2],0.823747933,0x200059DC,Off
 1,[1][3],0.892578244,0x200059E0,Off
 1,[1][4],0.961392879,0x200059E4,Off
 1,[1][5],1.03031659,0x200059E8,Off
 1,[1][6],1.09907258,0x200059EC,Off
 1,[1][7],1.16788805,0x200059F0,Off
 1,[1][8],1.23665011,0x200059F4,Off
 1,[1][9],1.30538666,0x200059F8,Off
 1,[1][10],1.37445688,0x200059FC,Off
 1,[2][0],0.721968234,0x20005A00,Off
 1,[2][1],0.794313073,0x20005A04,Off
 1,[2][2],0.866374969,0x20005A08,Off
 1,[2][3],0.938611209,0x20005A0C,Off
 1,[2][4],1.01081979,0x20005A10,Off
 1,[2][5],1.08306766,0x20005A14,Off
 1,[2][6],1.15516746,0x20005A18,Off
 1,[2][7],1.22747219,0x20005A1C,Off
 1,[2][8],1.29958951,0x20005A20,Off
 1,[2][9],1.37188828,0x20005A24,Off
 1,[2][10],1.4440918,0x20005A28,Off
 1,[3][0],0.736275315,0x20005A2C,Off
 1,[3][1],0.809985936,0x20005A30,Off
 1,[3][2],0.883587837,0x20005A34,Off
 1,[3][3],0.957132638,0x20005A38,Off
 1,[3][4],1.0306915,0x20005A3C,Off
 1,[3][5],1.10437834,0x20005A40,Off
 1,[3][6],1.17796862,0x20005A44,Off
 1,[3][7],1.25154638,0x20005A48,Off
 1,[3][8],1.32520771,0x20005A4C,Off
 1,[3][9],1.39894152,0x20005A50,Off
 1,[3][10],1.47247529,0x20005A54,Off
 1,[4][0],0.743498683,0x20005A58,Off
 1,[4][1],0.817759037,0x20005A5C,Off
 1,[4][2],0.891992688,0x20005A60,Off
 1,[4][3],0.966343284,0x20005A64,Off
 1,[4][4],1.04065347,0x20005A68,Off
 1,[4][5],1.11509109,0x20005A6C,Off
 1,[4][6],1.18930221,0x20005A70,Off
 1,[4][7],1.26363635,0x20005A74,Off
 1,[4][8],1.338076,0x20005A78,Off
 1,[4][9],1.41224551,0x20005A7C,Off
 1,[4][10],1.48663068,0x20005A80,Off
 1,[5][0],0.747338355,0x20005A84,Off
 1,[5][1],0.822054088,0x20005A88,Off
 1,[5][2],0.896609485,0x20005A8C,Off
 1,[5][3],0.97134304,0x20005A90,Off
 1,[5][4],1.04594183,0x20005A94,Off
 1,[5][5],1.12086904,0x20005A98,Off
 1,[5][6],1.19537234,0x20005A9C,Off
 1,[5][7],1.27009094,0x20005AA0,Off
 1,[5][8],1.34485686,0x20005AA4,Off
 1,[5][9],1.41949594,0x20005AA8,Off
 1,[5][10],1.49413133,0x20005AAC,Off
 1,[6][0],0.749923527,0x20005AB0,Off
 1,[6][1],0.824908257,0x20005AB4,Off
 1,[6][2],0.899809837,0x20005AB8,Off
 1,[6][3],0.974728107,0x20005ABC,Off
 1,[6][4],1.04965782,0x20005AC0,Off
 1,[6][5],1.12471056,0x20005AC4,Off
 1,[6][6],1.19962919,0x20005AC8,Off
 1,[6][7],1.27459908,0x20005ACC,Off
 1,[6][8],1.34966111,0x20005AD0,Off
 1,[6][9],1.42456067,0x20005AD4,Off
 1,[6][10],1.49942529,0x20005AD8,Off
 1,[7][0],0.751955211,0x20005ADC,Off
 1,[7][1],0.826997161,0x20005AE0,Off
 1,[7][2],0.902018189,0x20005AE4,Off
 1,[7][3],0.977373004,0x20005AE8,Off
 1,[7][4],1.05245256,0x20005AEC,Off
 1,[7][5],1.12765014,0x20005AF0,Off
 1,[7][6],1.20284188,0x20005AF4,Off
 1,[7][7],1.27792859,0x20005AF8,Off
 1,[7][8],1.35332799,0x20005AFC,Off
 1,[7][9],1.42838156,0x20005B00,Off
 1,[7][10],1.50343692,0x20005B04,Off
 1,[8][0],0.752983749,0x20005B08,Off
 1,[8][1],0.828370452,0x20005B0C,Off
 1,[8][2],0.903592944,0x20005B10,Off
 1,[8][3],0.97875911,0x20005B14,Off
 1,[8][4],1.05404091,0x20005B18,Off
 1,[8][5],1.12941194,0x20005B1C,Off
 1,[8][6],1.20463717,0x20005B20,Off
 1,[8][7],1.27986121,0x20005B24,Off
 1,[8][8],1.35525489,0x20005B28,Off
 1,[8][9],1.43056142,0x20005B2C,Off
 1,[8][10],1.50573373,0x20005B30,Off
 1,[9][0],0.753976941,0x20005B34,Off
 1,[9][1],0.829424381,0x20005B38,Off
 1,[9][2],0.904636562,0x20005B3C,Off
 1,[9][3],0.980006576,0x20005B40,Off
 1,[9][4],1.05536616,0x20005B44,Off
 1,[9][5],1.1309731,0x20005B48,Off
 1,[9][6],1.20625424,0x20005B4C,Off
 1,[9][7],1.28149235,0x20005B50,Off
 1,[9][8],1.35710609,0x20005B54,Off
 1,[9][9],1.43239069,0x20005B58,Off
 1,[9][10],1.50773978,0x20005B5C,Off
 1,[10][0],0.754678905,0x20005B60,Off
 1,[10][1],0.830185771,0x20005B64,Off
 1,[10][2],0.905567646,0x20005B68,Off
 1,[10][3],0.981102824,0x20005B6C,Off
 1,[10][4],1.05635309,0x20005B70,Off
 1,[10][5],1.1320616,0x20005B74,Off
 1,[10][6],1.20730734,0x20005B78,Off
 1,[10][7],1.28278565,0x20005B7C,Off
 1,[10][8],1.35842586,0x20005B80,Off
 1,[10][9],1.4338913,0x20005B84,Off
 1,[10][10],1.50913262,0x20005B88,Off
 1,[11][0],0.755230904,0x20005B8C,Off
 1,[11][1],0.830713928,0x20005B90,Off
 1,[11][2],0.906079292,0x20005B94,Off
 1,[11][3],0.981592357,0x20005B98,Off
 1,[11][4],1.0570482,0x20005B9C,Off
 1,[11][5],1.13276839,0x20005BA0,Off
 1,[11][6],1.2081629,0x20005BA4,Off
 1,[11][7],1.2836442,0x20005BA8,Off
 1,[11][8],1.35918367,0x20005BAC,Off
 1,[11][9],1.43485522,0x20005BB0,Off
 1,[11][10],1.51027739,0x20005BB4,Off
 1,[12][0],0.755828857,0x20005BB8,Off
 1,[12][1],0.831345379,0x20005BBC,Off
 1,[12][2],0.906879246,0x20005BC0,Off
 1,[12][3],0.982396424,0x20005BC4,Off
 1,[12][4],1.05789328,0x20005BC8,Off
 1,[12][5],1.13351381,0x20005BCC,Off
 1,[12][6],1.20909357,0x20005BD0,Off
 1,[12][7],1.28449249,0x20005BD4,Off
 1,[12][8],1.36022782,0x20005BD8,Off
 1,[12][9],1.43591321,0x20005BDC,Off
 1,[12][10],1.51126325,0x20005BE0,Off
 1,[13][0],0.756142795,0x20005BE4,Off
 1,[13][1],0.831783652,0x20005BE8,Off
 1,[13][2],0.907241166,0x20005BEC,Off
 1,[13][3],0.982901871,0x20005BF0,Off
 1,[13][4],1.05840921,0x20005BF4,Off
 1,[13][5],1.13417518,0x20005BF8,Off
 1,[13][6],1.20977807,0x20005BFC,Off
 1,[13][7],1.28523362,0x20005C00,Off
 1,[13][8],1.36095977,0x20005C04,Off
 1,[13][9],1.43651509,0x20005C08,Off
