Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,AmpSampleBoard,,0x200054F8,Off
0,VoutSampleBoard,,0x20005A20,Off
 1,[0][0],0.936807156,0x20005A20,Off
 1,[0][1],1.03105283,0x20005A24,Off
 1,[0][2],1.12390161,0x20005A28,Off
 1,[0][3],1.22586107,0x20005A2C,Off
 1,[0][4],1.31122708,0x20005A30,Off
 1,[0][5],1.40642047,0x20005A34,Off
 1,[0][6],1.50961232,0x20005A38,Off
 1,[0][7],1.59561563,0x20005A3C,Off
 1,[0][8],1.68826544,0x20005A40,Off
 1,[0][9],1.78275073,0x20005A44,Off
 1,[0][10],1.87740552,0x20005A48,Off
 1,[1][0],0.98986131,0x20005A4C,Off
 1,[1][1],1.0888685,0x20005A50,Off
 1,[1][2],1.18788397,0x20005A54,Off
 1,[1][3],1.28673577,0x20005A58,Off
 1,[1][4],1.38567924,0x20005A5C,Off
 1,[1][5],1.48493576,0x20005A60,Off
 1,[1][6],1.58395779,0x20005A64,Off
 1,[1][7],1.68313217,0x20005A68,Off
 1,[1][8],1.78223002,0x20005A6C,Off
 1,[1][9],1.88126147,0x20005A70,Off
 1,[1][10],1.98031104,0x20005A74,Off
 1,[2][0],1.01040053,0x20005A78,Off
 1,[2][1],1.11135805,0x20005A7C,Off
 1,[2][2],1.21234882,0x20005A80,Off
 1,[2][3],1.31322443,0x20005A84,Off
 1,[2][4],1.41429973,0x20005A88,Off
 1,[2][5],1.51577771,0x20005A8C,Off
 1,[2][6],1.61683691,0x20005A90,Off
 1,[2][7],1.71772516,0x20005A94,Off
 1,[2][8],1.81892323,0x20005A98,Off
 1,[2][9],1.91990376,0x20005A9C,Off
 1,[2][10],2.0209415,0x20005AA0,Off
 1,[3][0],1.01870823,0x20005AA4,Off
 1,[3][1],1.12061465,0x20005AA8,Off
 1,[3][2],1.2223779,0x20005AAC,Off
 1,[3][3],1.32413697,0x20005AB0,Off
 1,[3][4],1.42588854,0x20005AB4,Off
 1,[3][5],1.52816129,0x20005AB8,Off
 1,[3][6],1.62980115,0x20005ABC,Off
 1,[3][7],1.73190236,0x20005AC0,Off
 1,[3][8],1.83370459,0x20005AC4,Off
 1,[3][9],1.93559074,0x20005AC8,Off
 1,[3][10],2.0375371,0x20005ACC,Off
 1,[4][0],1.02276969,0x20005AD0,Off
 1,[4][1],1.12501109,0x20005AD4,Off
 1,[4][2],1.22713625,0x20005AD8,Off
 1,[4][3],1.32942712,0x20005ADC,Off
 1,[4][4],1.43155575,0x20005AE0,Off
 1,[4][5],1.53423905,0x20005AE4,Off
 1,[4][6],1.63652766,0x20005AE8,Off
 1,[4][7],1.73874056,0x20005AEC,Off
 1,[4][8],1.84101903,0x20005AF0,Off
 1,[4][9],1.94332814,0x20005AF4,Off
 1,[4][10],2.04562616,0x20005AF8,Off
 1,[5][0],1.02497983,0x20005AFC,Off
 1,[5][1],1.12731326,0x20005B00,Off
 1,[5][2],1.22962093,0x20005B04,Off
 1,[5][3],1.33200431,0x20005B08,Off
 1,[5][4],1.43449032,0x20005B0C,Off
 1,[5][5],1.5372647,0x20005B10,Off
 1,[5][6],1.63969302,0x20005B14,Off
 1,[5][7],1.74212515,0x20005B18,Off
 1,[5][8],1.84471667,0x20005B1C,Off
 1,[5][9],1.94714069,0x20005B20,Off
 1,[5][10],2.04960394,0x20005B24,Off
 1,[6][0],1.02638221,0x20005B28,Off
 1,[6][1],1.12898374,0x20005B2C,Off
 1,[6][2],1.23153663,0x20005B30,Off
 1,[6][3],1.33404541,0x20005B34,Off
 1,[6][4],1.43652034,0x20005B38,Off
 1,[6][5],1.53950858,0x20005B3C,Off
 1,[6][6],1.64207625,0x20005B40,Off
 1,[6][7],1.74484944,0x20005B44,Off
 1,[6][8],1.84744453,0x20005B48,Off
 1,[6][9],1.95004749,0x20005B4C,Off
 1,[6][10],2.05250311,0x20005B50,Off
 1,[7][0],1.02759123,0x20005B54,Off
 1,[7][1],1.13034213,0x20005B58,Off
 1,[7][2],1.23306394,0x20005B5C,Off
 1,[7][3],1.33561301,0x20005B60,Off
 1,[7][4],1.43833828,0x20005B64,Off
 1,[7][5],1.54146898,0x20005B68,Off
 1,[7][6],1.64414346,0x20005B6C,Off
 1,[7][7],1.74682426,0x20005B70,Off
 1,[7][8],1.84973073,0x20005B74,Off
 1,[7][9],1.95245481,0x20005B78,Off
 1,[7][10],2.05511403,0x20005B7C,Off
 1,[8][0],1.02840674,0x20005B80,Off
 1,[8][1],1.13124681,0x20005B84,Off
 1,[8][2],1.23389363,0x20005B88,Off
 1,[8][3],1.33650398,0x20005B8C,Off
 1,[8][4],1.43936706,0x20005B90,Off
 1,[8][5],1.54245079,0x20005B94,Off
 1,[8][6],1.64513755,0x20005B98,Off
 1,[8][7],1.7478596,0x20005B9C,Off
 1,[8][8],1.8508997,0x20005BA0,Off
 1,[8][9],1.9534632,0x20005BA4,Off
 1,[8][10],2.05625033,0x20005BA8,Off
 1,[9][0],1.02862573,0x20005BAC,Off
 1,[9][1],1.13148236,0x20005BB0,Off
 1,[9][2],1.23428595,0x20005BB4,Off
 1,[9][3],1.337129,0x20005BB8,Off
 1,[9][4],1.43986583,0x20005BBC,Off
 1,[9][5],1.54315281,0x20005BC0,Off
