Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,g_adc_buf_dc,,0x200025E4,Off
0,g_adc_buf,,0x200015E4,Off
 1,[0],811,0x200015E4,Off
 1,[1],797,0x200015E6,Off
 1,[2],784,0x200015E8,Off
 1,[3],786,0x200015EA,Off
 1,[4],790,0x200015EC,Off
 1,[5],793,0x200015EE,Off
 1,[6],806,0x200015F0,Off
 1,[7],830,0x200015F2,Off
 1,[8],844,0x200015F4,Off
 1,[9],873,0x200015F6,Off
 1,[10],896,0x200015F8,Off
 1,[11],817,0x200015FA,Off
 1,[12],810,0x200015FC,Off
 1,[13],792,0x200015FE,Off
 1,[14],788,0x20001600,Off
 1,[15],787,0x20001602,Off
 1,[16],789,0x20001604,Off
 1,[17],804,0x20001606,Off
 1,[18],814,0x20001608,Off
 1,[19],827,0x2000160A,Off
 1,[20],853,0x2000160C,Off
 1,[21],880,0x2000160E,Off
 1,[22],910,0x20001610,Off
 1,[23],948,0x20001612,Off
 1,[24],975,0x20001614,Off
 1,[25],1009,0x20001616,Off
 1,[26],1036,0x20001618,Off
 1,[27],1091,0x2000161A,Off
 1,[28],1124,0x2000161C,Off
 1,[29],1174,0x2000161E,Off
 1,[30],1213,0x20001620,Off
 1,[31],1242,0x20001622,Off
 1,[32],1283,0x20001624,Off
 1,[33],1322,0x20001626,Off
 1,[34],1352,0x20001628,Off
 1,[35],1382,0x2000162A,Off
 1,[36],1404,0x2000162C,Off
 1,[37],1428,0x2000162E,Off
 1,[38],1450,0x20001630,Off
 1,[39],1461,0x20001632,Off
 1,[40],1480,0x20001634,Off
 1,[41],1472,0x20001636,Off
 1,[42],1470,0x20001638,Off
 1,[43],1463,0x2000163A,Off
 1,[44],1461,0x2000163C,Off
 1,[45],1446,0x2000163E,Off
 1,[46],1421,0x20001640,Off
 1,[47],1405,0x20001642,Off
 1,[48],1374,0x20001644,Off
 1,[49],1341,0x20001646,Off
 1,[50],1309,0x20001648,Off
 1,[51],1279,0x2000164A,Off
 1,[52],1241,0x2000164C,Off
 1,[53],1196,0x2000164E,Off
 1,[54],1162,0x20001650,Off
 1,[55],1119,0x20001652,Off
 1,[56],1082,0x20001654,Off
 1,[57],1044,0x20001656,Off
 1,[58],1001,0x20001658,Off
 1,[59],958,0x2000165A,Off
 1,[60],929,0x2000165C,Off
 1,[61],896,0x2000165E,Off
