Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,SampleInBoardArr,,0x20000AF0,Off
0,SampleInBoardErrorArr,,0x00000000,Off
0,adc_fft_buffer,,0x2000B7E0,Off
 1,[0],-0.462634444,0x2000B7E0,Off
 1,[1],-0.452964067,0x2000B7E4,Off
 1,[2],-0.470692992,0x2000B7E8,Off
 1,[3],-0.462634444,0x2000B7EC,Off
 1,[4],-0.456993341,0x2000B7F0,Off
 1,[5],-0.452158213,0x2000B7F4,Off
 1,[6],-0.469081283,0x2000B7F8,Off
 1,[7],-0.461022615,0x2000B7FC,Off
 1,[8],-0.454575777,0x2000B800,Off
 1,[9],-0.462634444,0x2000B804,Off
 1,[10],-0.461022615,0x2000B808,Off
 1,[11],-0.454575777,0x2000B80C,Off
 1,[12],-0.452964067,0x2000B810,Off
 1,[13],-0.465857744,0x2000B814,Off
 1,[14],-0.455381632,0x2000B818,Off
 1,[15],-0.449740529,0x2000B81C,Off
 1,[16],-0.446517229,0x2000B820,Off
 1,[17],-0.456993341,0x2000B824,Off
 1,[18],-0.448128939,0x2000B828,Off
 1,[19],-0.444099665,0x2000B82C,Off
 1,[20],-0.436846852,0x2000B830,Off
 1,[21],-0.449740529,0x2000B834,Off
 1,[22],-0.444099665,0x2000B838,Off
 1,[23],-0.436846852,0x2000B83C,Off
 1,[24],-0.432817578,0x2000B840,Off
 1,[25],-0.438458562,0x2000B844,Off
 1,[26],-0.434429288,0x2000B848,Off
 1,[27],-0.43120575,0x2000B84C,Off
 1,[28],-0.422341347,0x2000B850,Off
 1,[29],-0.428788185,0x2000B854,Off
 1,[30],-0.423147202,0x2000B858,Off
 1,[31],-0.418312073,0x2000B85C,Off
 1,[32],-0.411865234,0x2000B860,Off
 1,[33],-0.419117928,0x2000B864,Off
 1,[34],-0.413476825,0x2000B868,Off
 1,[35],-0.466663718,0x2000B86C,Off
 1,[36],-0.459410906,0x2000B870,Off
 1,[37],-0.456187606,0x2000B874,Off
 1,[38],-0.477945685,0x2000B878,Off
 1,[39],-0.470692992,0x2000B87C,Off
 1,[40],-0.46344018,0x2000B880,Off
 1,[41],-0.459410906,0x2000B884,Off
 1,[42],-0.474722266,0x2000B888,Off
 1,[43],-0.469081283,0x2000B88C,Off
 1,[44],-0.462634444,0x2000B890,Off
 1,[45],-0.456993341,0x2000B894,Off
 1,[46],-0.475528121,0x2000B898,Off
 1,[47],-0.468275428,0x2000B89C,Off
 1,[48],-0.464246154,0x2000B8A0,Off
 1,[49],-0.453769922,0x2000B8A4,Off
 1,[50],-0.469081283,0x2000B8A8,Off
 1,[51],-0.465857744,0x2000B8AC,Off
 1,[52],-0.459410906,0x2000B8B0,Off
 1,[53],-0.448934793,0x2000B8B4,Off
 1,[54],-0.469081283,0x2000B8B8,Off
 1,[55],-0.461022615,0x2000B8BC,Off
 1,[56],-0.455381632,0x2000B8C0,Off
 1,[57],-0.448934793,0x2000B8C4,Off
 1,[58],-0.465052009,0x2000B8C8,Off
 1,[59],-0.457799196,0x2000B8CC,Off
 1,[60],-0.452158213,0x2000B8D0,Off
 1,[61],-0.449740529,0x2000B8D4,Off
 1,[62],-0.455381632,0x2000B8D8,Off
 1,[63],-0.452158213,0x2000B8DC,Off
 1,[64],-0.4449054,0x2000B8E0,Off
 1,[65],-0.454575777,0x2000B8E4,Off
 1,[66],-0.451352358,0x2000B8E8,Off
 1,[67],-0.445711255,0x2000B8EC,Off
 1,[68],-0.438458562,0x2000B8F0,Off
 1,[69],-0.452158213,0x2000B8F4,Off
 1,[70],-0.4449054,0x2000B8F8,Off
 1,[71],-0.435235143,0x2000B8FC,Off
 1,[72],-0.42959404,0x2000B900,Off
 1,[73],-0.441681981,0x2000B904,Off
 1,[74],-0.434429288,0x2000B908,Off
 1,[75],-0.430400014,0x2000B90C,Off
 1,[76],-0.425564766,0x2000B910,Off
 1,[77],-0.42959404,0x2000B914,Off
 1,[78],-0.422341347,0x2000B918,Off
 1,[79],-0.417506099,0x2000B91C,Off
 1,[80],-0.41267097,0x2000B920,Off
 1,[81],-0.419923782,0x2000B924,Off
 1,[82],-0.419923782,0x2000B928,Off
 1,[83],-0.404612422,0x2000B92C,Off
 1,[84],-0.401388884,0x2000B930,Off
 1,[85],-0.408641696,0x2000B934,Off
 1,[86],-0.400583148,0x2000B938,Off
 1,[87],-0.392524481,0x2000B93C,Off
 1,[88],-0.39413619,0x2000B940,Off
 1,[89],-0.395748019,0x2000B944,Off
 1,[90],-0.387689352,0x2000B948,Off
 1,[91],-0.383660078,0x2000B94C,Off
 1,[92],-0.378018975,0x2000B950,Off
 1,[93],-0.382854104,0x2000B954,Off
 1,[94],-0.373183846,0x2000B958,Off
 1,[95],-0.369154453,0x2000B95C,Off
 1,[96],-0.363513589,0x2000B960,Off
 1,[97],-0.365931153,0x2000B964,Off
 1,[98],-0.358678341,0x2000B968,Off
 1,[99],-0.353037238,0x2000B96C,Off
 1,[100],-0.349007964,0x2000B970,Off
 1,[101],-0.348202109,0x2000B974,Off
 1,[102],-0.343366981,0x2000B978,Off
 1,[103],-0.342561126,0x2000B97C,Off
 1,[104],-0.336114287,0x2000B980,Off
 1,[105],-0.332890749,0x2000B984,Off
 1,[106],-0.328861475,0x2000B988,Off
 1,[107],-0.325638056,0x2000B98C,Off
 1,[108],-0.319997072,0x2000B990,Off
 1,[109],-0.315161943,0x2000B994,Off
 1,[110],-0.31274426,0x2000B998,Off
 1,[111],-0.307103276,0x2000B99C,Off
 1,[112],-0.301462293,0x2000B9A0,Off
 1,[113],-0.296627045,0x2000B9A4,Off
 1,[114],-0.293403625,0x2000B9A8,Off
 1,[115],-0.285345078,0x2000B9AC,Off
