Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,g_adc_buf_dc,,0x200025E4,Off
 1,[0],1173,0x200025E4,Off
 1,[1],1137,0x200025E6,Off
 1,[2],1093,0x200025E8,Off
 1,[3],1056,0x200025EA,Off
 1,[4],1016,0x200025EC,Off
 1,[5],982,0x200025EE,Off
 1,[6],942,0x200025F0,Off
 1,[7],915,0x200025F2,Off
 1,[8],881,0x200025F4,Off
 1,[9],856,0x200025F6,Off
 1,[10],834,0x200025F8,Off
 1,[11],815,0x200025FA,Off
 1,[12],810,0x200025FC,Off
 1,[13],792,0x200025FE,Off
 1,[14],789,0x20002600,Off
 1,[15],787,0x20002602,Off
 1,[16],789,0x20002604,Off
 1,[17],803,0x20002606,Off
 1,[18],813,0x20002608,Off
 1,[19],827,0x2000260A,Off
 1,[20],851,0x2000260C,Off
 1,[21],878,0x2000260E,Off
 1,[22],909,0x20002610,Off
 1,[23],945,0x20002612,Off
 1,[24],973,0x20002614,Off
 1,[25],1012,0x20002616,Off
 1,[26],1035,0x20002618,Off
 1,[27],1091,0x2000261A,Off
 1,[28],1124,0x2000261C,Off
 1,[29],1172,0x2000261E,Off
 1,[30],1209,0x20002620,Off
 1,[31],1240,0x20002622,Off
 1,[32],1280,0x20002624,Off
 1,[33],1321,0x20002626,Off
 1,[34],1349,0x20002628,Off
 1,[35],1380,0x2000262A,Off
 1,[36],1402,0x2000262C,Off
 1,[37],1426,0x2000262E,Off
 1,[38],1447,0x20002630,Off
 1,[39],1459,0x20002632,Off
 1,[40],1480,0x20002634,Off
 1,[41],1470,0x20002636,Off
 1,[42],1467,0x20002638,Off
 1,[43],1463,0x2000263A,Off
 1,[44],1457,0x2000263C,Off
 1,[45],1444,0x2000263E,Off
 1,[46],1420,0x20002640,Off
 1,[47],1404,0x20002642,Off
 1,[48],1373,0x20002644,Off
 1,[49],1339,0x20002646,Off
 1,[50],1308,0x20002648,Off
 1,[51],1277,0x2000264A,Off
 1,[52],1239,0x2000264C,Off
 1,[53],1192,0x2000264E,Off
 1,[54],1160,0x20002650,Off
 1,[55],1119,0x20002652,Off
 1,[56],1082,0x20002654,Off
 1,[57],1042,0x20002656,Off
 1,[58],1001,0x20002658,Off
 1,[59],958,0x2000265A,Off
 1,[60],928,0x2000265C,Off
 1,[61],896,0x2000265E,Off
 1,[62],870,0x20002660,Off
