Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,SampleInBoardArr,,0x20000AF0,Off
0,SampleInBoardErrorArr,,0x00000000,Off
0,adc_fft_buffer,,0x2000B7E0,Off
0,dacSampleBoardArr,,0x200114D0,Off
 1,[0],0.790179253,0x200114D0,Off
 1,[1],0.809112132,0x200114D4,Off
 1,[2],0.81329602,0x200114D8,Off
 1,[3],0.813664019,0x200114DC,Off
 1,[4],0.812681377,0x200114E0,Off
 1,[5],0.813623369,0x200114E4,Off
 1,[6],0.814229131,0x200114E8,Off
 1,[7],0.814565837,0x200114EC,Off
 1,[8],0.814794421,0x200114F0,Off
 1,[9],0.814840913,0x200114F4,Off
 1,[10],0.814802706,0x200114F8,Off
 1,[11],0.815486848,0x200114FC,Off
 1,[12],0.815655708,0x20011500,Off
 1,[13],0.816520393,0x20011504,Off
 1,[14],0.815658271,0x20011508,Off
 1,[15],0.817522109,0x2001150C,Off
 1,[16],0.817456365,0x20011510,Off
 1,[17],0.817699313,0x20011514,Off
 1,[18],0.816703439,0x20011518,Off
 1,[19],0.818086922,0x2001151C,Off
 1,[20],0.818126738,0x20011520,Off
 1,[21],0.817359328,0x20011524,Off
 1,[22],0.818375647,0x20011528,Off
 1,[23],0.817859113,0x2001152C,Off
 1,[24],0.817220271,0x20011530,Off
 1,[25],0.817361712,0x20011534,Off
 1,[26],0.817802131,0x20011538,Off
 1,[27],0.817191958,0x2001153C,Off
 1,[28],0.818074524,0x20011540,Off
 1,[29],0.819389999,0x20011544,Off
 1,[30],0.794200122,0x20011548,Off
 1,[31],0.793161154,0x2001154C,Off
 1,[32],0.79273051,0x20011550,Off
 1,[33],0.793927193,0x20011554,Off
 1,[34],0.792865157,0x20011558,Off
 1,[35],0.793703556,0x2001155C,Off
 1,[36],0.793049216,0x20011560,Off
 1,[37],0.79379034,0x20011564,Off
 1,[38],0.79267323,0x20011568,Off
 1,[39],0.79285717,0x2001156C,Off
 1,[40],0.792696476,0x20011570,Off
 1,[41],0.792738557,0x20011574,Off
 1,[42],0.793175757,0x20011578,Off
 1,[43],0.792636096,0x2001157C,Off
 1,[44],0.791797042,0x20011580,Off
 1,[45],0.792966545,0x20011584,Off
 1,[46],0.791948736,0x20011588,Off
 1,[47],0.79293704,0x2001158C,Off
 1,[48],0.792460144,0x20011590,Off
 1,[49],0.793250322,0x20011594,Off
 1,[50],0.792082906,0x20011598,Off
 1,[51],0.792137921,0x2001159C,Off
 1,[52],0.791796386,0x200115A0,Off
 1,[53],0.790576875,0x200115A4,Off
 1,[54],0.790948033,0x200115A8,Off
 1,[55],0.792875111,0x200115AC,Off
 1,[56],0.792108893,0x200115B0,Off
 1,[57],0.790858328,0x200115B4,Off
 1,[58],0.789903581,0x200115B8,Off
 1,[59],0.790451467,0x200115BC,Off
 1,[60],0.7917943,0x200115C0,Off
 1,[61],0.789988816,0x200115C4,Off
 1,[62],0.789584994,0x200115C8,Off
 1,[63],0.789580286,0x200115CC,Off
 1,[64],0.789790809,0x200115D0,Off
 1,[65],0.789163232,0x200115D4,Off
 1,[66],0.788486898,0x200115D8,Off
 1,[67],0.790693641,0x200115DC,Off
 1,[68],0.792586923,0x200115E0,Off
 1,[69],0.791486323,0x200115E4,Off
 1,[70],0.790733099,0x200115E8,Off
 1,[71],0.790268302,0x200115EC,Off
 1,[72],0.785874188,0x200115F0,Off
 1,[73],0.788251162,0x200115F4,Off
 1,[74],0.791546226,0x200115F8,Off
 1,[75],0.791102469,0x200115FC,Off
 1,[76],0.792301774,0x20011600,Off
 1,[77],0.790047944,0x20011604,Off
 1,[78],0.790641427,0x20011608,Off
 1,[79],0.790185928,0x2001160C,Off
 1,[80],0.790459454,0x20011610,Off
 1,[81],0.790452182,0x20011614,Off
 1,[82],0.789680302,0x20011618,Off
 1,[83],0.789988637,0x2001161C,Off
 1,[84],0.791146636,0x20011620,Off
 1,[85],0.792339444,0x20011624,Off
 1,[86],0.79176861,0x20011628,Off
 1,[87],0.790785015,0x2001162C,Off
 1,[88],0.791853905,0x20011630,Off
 1,[89],0.790996909,0x20011634,Off
 1,[90],0.789657414,0x20011638,Off
 1,[91],0.791405797,0x2001163C,Off
 1,[92],0.791295767,0x20011640,Off
 1,[93],0.791621089,0x20011644,Off
 1,[94],0.79101938,0x20011648,Off
 1,[95],0.791123152,0x2001164C,Off
 1,[96],0.789518416,0x20011650,Off
 1,[97],0.789540887,0x20011654,Off
 1,[98],0.787822962,0x20011658,Off
 1,[99],0.785991132,0x2001165C,Off
 1,[100],0.788549662,0x20011660,Off
 1,[101],0.786780417,0x20011664,Off
 1,[102],0.786339641,0x20011668,Off
 1,[103],0.789049804,0x2001166C,Off
 1,[104],0.78669697,0x20011670,Off
 1,[105],0.789472222,0x20011674,Off
 1,[106],0.784850001,0x20011678,Off
 1,[107],0.784506977,0x2001167C,Off
 1,[108],0.788759172,0x20011680,Off
 1,[109],0.788838983,0x20011684,Off
 1,[110],0.788840771,0x20011688,Off
 1,[111],0.788357556,0x2001168C,Off
 1,[112],0.784525514,0x20011690,Off
 1,[113],0.788117945,0x20011694,Off
 1,[114],0.787993312,0x20011698,Off
 1,[115],0.78656882,0x2001169C,Off
 1,[116],0.786058724,0x200116A0,Off
 1,[117],0.789811313,0x200116A4,Off
 1,[118],0.790529132,0x200116A8,Off
 1,[119],0.789693117,0x200116AC,Off
 1,[120],0.786754966,0x200116B0,Off
 1,[121],0.787097633,0x200116B4,Off
 1,[122],0.788190424,0x200116B8,Off
 1,[123],0.791282117,0x200116BC,Off
 1,[124],0.789623499,0x200116C0,Off
 1,[125],0.792047799,0x200116C4,Off
 1,[126],0.790835559,0x200116C8,Off
 1,[127],0.790434241,0x200116CC,Off
