Level,Expression,Value,Location,Refresh
0,Waveform_RAM,,<outofscope>,Off
0,g_adc_buf_dc,,<outofscope>,Off
0,g_adc_buf,,0x2000DC08,Off
0,g_fft_input_buf,,0x2000F2C4,5 Hz
0,g_fft_input_buf,,0x2000F2C4,Off
0,g_fft_input_buf,,0x2000F2C4,Off
0,g_MeasuredGains,,0x20001A90,5 Hz
0,adc_fft_buffer,,0x2000BB00,Off
0,g_FrequencyPoints,,0x200117F0,Off
0,adc_fft_buffer,,0x2000BB00,Off
0,g_MeasuredGains,,0x20001A90,5 Hz
 1,[0],0.529423833,0x20001A90,5 Hz
 1,[1],0.537258923,0x20001A94,5 Hz
 1,[2],0.546774626,0x20001A98,5 Hz
 1,[3],0.557919562,0x20001A9C,5 Hz
 1,[4],0.566783369,0x20001AA0,5 Hz
 1,[5],0.575909078,0x20001AA4,5 Hz
 1,[6],0.582748592,0x20001AA8,5 Hz
 1,[7],0.591090739,0x20001AAC,5 Hz
 1,[8],0.598039925,0x20001AB0,5 Hz
 1,[9],0.606383741,0x20001AB4,5 Hz
 1,[10],0.612548649,0x20001AB8,5 Hz
 1,[11],0.619048536,0x20001ABC,5 Hz
 1,[12],0.625235856,0x20001AC0,5 Hz
 1,[13],0.630693018,0x20001AC4,5 Hz
 1,[14],0.63601613,0x20001AC8,5 Hz
 1,[15],0.641309321,0x20001ACC,5 Hz
 1,[16],0.646132708,0x20001AD0,5 Hz
 1,[17],0.650800645,0x20001AD4,5 Hz
 1,[18],0.654637337,0x20001AD8,5 Hz
 1,[19],0.659044683,0x20001ADC,5 Hz
 1,[20],0.662763059,0x20001AE0,5 Hz
 1,[21],0.666532934,0x20001AE4,5 Hz
 1,[22],0.669921398,0x20001AE8,5 Hz
 1,[23],0.672986209,0x20001AEC,5 Hz
 1,[24],0.676119626,0x20001AF0,5 Hz
 1,[25],0.678644419,0x20001AF4,5 Hz
 1,[26],0.681524932,0x20001AF8,5 Hz
 1,[27],0.68422395,0x20001AFC,5 Hz
 1,[28],0.686625242,0x20001B00,5 Hz
 1,[29],0.688623428,0x20001B04,5 Hz
 1,[30],0.690696418,0x20001B08,5 Hz
 1,[31],0.692629337,0x20001B0C,5 Hz
 1,[32],0.694491208,0x20001B10,5 Hz
 1,[33],0.696222484,0x20001B14,5 Hz
